"","Filename","DMIT_ID","DMIT_Name","TansectNum","TransectType","Date","FieldTeam","PointType","IndicatorNum","Lat_DecDeg","Long_DecDeg","Elevation_ftNAVD88","Parameter","Value"
"68","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10758333,-80.97783333,57.95,"Sub-Canopy_FACW","0"
"69","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10758333,-80.97783333,57.95,"Sub-Canopy_FAC","0"
"70","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10758333,-80.97783333,57.95,"Sub-Canopy_UPL","0"
"71","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10758333,-80.97783333,57.95,"Groundcover_OBL","52"
"72","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10758333,-80.97783333,57.95,"Groundcover_FACW","32"
"73","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10758333,-80.97783333,57.95,"Groundcover_FAC","13"
"74","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Hydric @ Surface",2,28.10758333,-80.97783333,57.95,"Groundcover_UPL","0"
"75","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Canopy_OBL","0"
"76","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Canopy_FACW","0"
"77","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Canopy_FAC","0"
"78","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Canopy_UPL","0"
"79","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Sub-Canopy_OBL","0"
"80","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Sub-Canopy_FACW","0"
"81","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Sub-Canopy_FAC","0"
"82","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Sub-Canopy_UPL","0"
"83","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Groundcover_OBL","44"
"84","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Groundcover_FACW","10"
"85","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Groundcover_FAC","51"
"86","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",2,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Muck @ Surface",3,28.10758333,-80.97781666,57.94,"Groundcover_UPL","0"
"87","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Soil",2015-12-04,"Hart, Richardson, Holmberg","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"S7","Depth: 1.5 to 5 inches"
"88","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Soil",2015-12-04,"Hart, Richardson, Holmberg","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"A8","Depth: 0 to 1.5 inches"
"89","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Soil",2015-12-04,"Hart, Richardson, Holmberg","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"A6","Depth: 0 to 1.5 inches"
"90","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Canopy_OBL","0"
"91","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Canopy_FACW","0"
"92","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Canopy_FAC","0"
"93","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Canopy_UPL","0"
"94","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Sub-Canopy_OBL","0"
"95","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Sub-Canopy_FACW","0"
"96","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Sub-Canopy_FAC","0"
"97","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Sub-Canopy_UPL","0"
"98","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Groundcover_OBL","1"
"99","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Groundcover_FACW","6"
"100","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Groundcover_FAC","1"
"101","Bull Creek North Site 2015_2016.xlsm",6,"Bull Creek North",3,"Vegetation",2016-06-20,"Holmberg, Lindsey, Garrett-Kraus","Wetland Boundry, Hydric @ Surface, and Muck @ Surface",1,28.10745,-80.97838333,59.01,"Groundcover_UPL","80"
"102","MOD_Pasture Reserve  1 Data_11-13-19PDT.xlsm",156,"Pasture Reserve 1",1,"Soil",2019-04-30,"MH, KRH, DC, TJV, OR","Hydric @ Surface",2,28.4898187724,-81.8784900137,105.61,"A6","Depth: 0 to 0.5 inches"
"103","MOD_Pasture Reserve  1 Data_11-13-19PDT.xlsm",156,"Pasture Reserve 1",1,"Soil",2019-04-30,"MH, KRH, DC, TJV, OR","Hydric @ Surface",2,28.4898187724,-81.8784900137,105.61,"S7","Depth: 0 to 4 inches"
"104","MOD_Pasture Reserve  1 Data_11-13-19PDT.xlsm",156,"Pasture Reserve 1",1,"Soil",2019-04-30,"MH, KRH, DC, TJV, OR","Muck @ Surface",3,28.4897912964,-81.878521176,104.88,"S7","Depth: 0 to 12 inches"
"105","MOD_Pasture Reserve  1 Data_11-13-19PDT.xlsm",156,"Pasture Reserve 1",1,"Soil",2019-04-30,"MH, KRH, DC, TJV, OR","Muck @ Surface",3,28.4897912964,-81.878521176,104.88,"A8","Depth: 0 to 3 inches"
"106","MOD_Pasture Reserve  1 Data_11-13-19PDT.xlsm",156,"Pasture Reserve 1",1,"Soil",2019-04-30,"MH, KRH, DC, TJV, OR","Muck @ Surface",3,28.4897912964,-81.878521176,104.88,"A9","Depth: 0 to 3 inches"
"107","MOD_Pasture Reserve  1 Data_11-13-19PDT.xlsm",156,"Pasture Reserve 1",1,"Soil",2019-04-30,"MH, KRH, DC, TJV, OR","Muck @ Surface",3,28.4897912964,-81.878521176,104.88,"S9","Depth: 0 to 12 inches"
